year,country_code,country_name,country_category,ssi,hg,w,w_trend,w_prime,w_double_prime,ssi_m,ssi_d,ssi_i,ssi_r,hg_geopolitical,hg_economic,hg_social,hg_external,hg_nontraditional
2000,USA,United States,超级大国,92.01,0.21,72.68,71.87,0.0,0.0,36.52,25.87,19.59,9.19,0.02,0.062,0.046,0.03,0.018
2001,USA,United States,超级大国,92.93,0.253,69.38,71.52,-0.36,0.0,35.95,26.74,18.6,9.95,0.036,0.088,0.027,0.037,0.017
2002,USA,United States,超级大国,91.83,0.214,72.2,71.16,-0.36,0.0,39.06,28.8,19.94,8.63,0.015,0.042,0.059,0.048,0.016
2003,USA,United States,超级大国,91.24,0.239,69.43,70.8,-0.36,-0.0,37.69,25.63,16.78,8.48,0.065,0.034,0.047,0.04,0.031
2004,USA,United States,超级大国,91.66,0.223,71.21,70.45,-0.36,-0.0,33.66,28.05,16.55,8.38,0.069,0.032,0.03,0.022,0.022
2005,USA,United States,超级大国,91.58,0.226,70.9,70.09,-0.36,-0.0,34.46,28.64,16.54,9.6,0.036,0.057,0.053,0.05,0.019
2006,USA,United States,超级大国,91.52,0.228,70.62,69.73,-0.36,-0.0,35.15,27.98,20.29,9.93,0.026,0.056,0.038,0.05,0.017
2007,USA,United States,超级大国,91.42,0.229,70.46,69.37,-0.36,-0.0,39.56,26.92,18.28,9.14,0.02,0.047,0.059,0.044,0.017
2008,USA,United States,超级大国,88.87,0.303,61.95,69.0,-0.36,-0.0,35.7,27.51,17.69,8.01,0.111,0.058,0.056,0.05,0.031
2009,USA,United States,超级大国,91.29,0.237,69.66,68.64,-0.36,-0.0,37.6,29.31,17.53,8.36,0.047,0.066,0.048,0.054,0.024
2010,USA,United States,超级大国,91.18,0.239,69.37,68.27,-0.37,-0.0,34.49,26.43,20.04,9.0,0.092,0.069,0.035,0.045,0.02
2011,USA,United States,超级大国,91.13,0.242,69.1,67.89,-0.37,-0.01,38.32,27.02,16.54,8.94,0.041,0.09,0.046,0.022,0.021
2012,USA,United States,超级大国,91.03,0.245,68.73,67.51,-0.38,-0.01,35.77,27.86,20.12,8.87,0.09,0.087,0.076,0.021,0.024
2013,USA,United States,超级大国,90.95,0.25,68.23,67.12,-0.39,-0.01,34.46,25.54,19.16,9.62,0.093,0.065,0.079,0.03,0.023
2014,USA,United States,超级大国,90.87,0.262,67.1,66.71,-0.4,-0.01,37.98,26.46,19.74,8.34,0.081,0.085,0.052,0.031,0.024
2015,USA,United States,超级大国,90.81,0.254,67.78,66.3,-0.41,-0.01,35.76,25.36,16.4,9.21,0.097,0.059,0.052,0.056,0.021
2016,USA,United States,超级大国,90.72,0.263,66.91,65.88,-0.42,-0.01,36.03,27.01,18.78,9.5,0.073,0.083,0.073,0.042,0.021
2017,USA,United States,超级大国,90.64,0.26,67.05,65.46,-0.43,-0.01,37.03,27.02,19.78,9.19,0.109,0.066,0.033,0.042,0.026
2018,USA,United States,超级大国,91.06,0.294,64.3,65.02,-0.43,-0.01,35.6,25.38,19.17,10.07,0.128,0.084,0.055,0.046,0.037
2019,USA,United States,超级大国,90.48,0.265,66.47,64.59,-0.43,-0.0,35.2,28.28,18.04,8.92,0.06,0.069,0.079,0.037,0.019
2020,USA,United States,超级大国,87.9,0.379,54.56,64.15,-0.43,0.0,32.83,26.54,16.21,8.54,0.156,0.091,0.083,0.037,0.044
2021,USA,United States,超级大国,90.32,0.273,65.64,63.72,-0.43,0.0,34.81,28.84,16.69,9.67,0.106,0.09,0.047,0.033,0.029
2022,USA,United States,超级大国,90.24,0.305,62.68,63.3,-0.43,0.0,33.92,28.45,18.49,9.37,0.122,0.107,0.077,0.04,0.034
2023,USA,United States,超级大国,90.16,0.279,65.01,62.87,-0.43,0.0,34.51,26.63,18.06,9.11,0.065,0.065,0.049,0.029,0.019
2000,CHN,China,超级大国,65.01,0.378,40.42,40.19,0.0,0.0,26.16,18.8,11.48,5.84,0.114,0.133,0.052,0.064,0.041
2001,CHN,China,超级大国,65.83,0.39,40.13,40.92,0.73,0.0,24.54,17.94,13.27,6.35,0.163,0.076,0.079,0.053,0.041
2002,CHN,China,超级大国,66.69,0.373,41.81,41.66,0.73,0.0,28.55,21.22,13.08,6.04,0.107,0.058,0.075,0.057,0.037
2003,CHN,China,超级大国,67.55,0.372,42.44,42.39,0.73,-0.0,25.64,20.22,12.13,6.88,0.106,0.098,0.096,0.065,0.038
2004,CHN,China,超级大国,68.41,0.368,43.24,43.12,0.73,-0.0,30.13,20.63,12.68,7.31,0.112,0.075,0.045,0.059,0.043
2005,CHN,China,超级大国,69.25,0.367,43.81,43.85,0.73,-0.0,26.78,21.21,14.92,6.75,0.123,0.107,0.069,0.037,0.034
2006,CHN,China,超级大国,70.07,0.361,44.78,44.58,0.73,-0.0,27.81,22.45,15.35,6.25,0.138,0.062,0.061,0.043,0.03
2007,CHN,China,超级大国,70.96,0.358,45.57,45.31,0.73,-0.0,29.35,20.36,14.72,7.49,0.077,0.09,0.068,0.035,0.043
2008,CHN,China,超级大国,71.31,0.376,44.51,46.03,0.73,-0.0,31.05,20.38,12.65,7.64,0.075,0.072,0.093,0.059,0.04
2009,CHN,China,超级大国,72.63,0.353,46.98,46.76,0.73,-0.0,30.82,22.84,15.18,6.61,0.063,0.069,0.069,0.072,0.037
2010,CHN,China,超级大国,73.5,0.351,47.7,47.49,0.72,-0.0,29.97,21.77,15.77,7.39,0.137,0.074,0.093,0.056,0.038
2011,CHN,China,超级大国,74.33,0.349,48.42,48.21,0.72,-0.0,31.49,21.83,13.6,6.79,0.079,0.103,0.071,0.034,0.039
2012,CHN,China,超级大国,75.22,0.342,49.5,48.93,0.72,-0.0,30.07,23.99,15.02,7.31,0.065,0.073,0.076,0.038,0.039
2013,CHN,China,超级大国,76.07,0.34,50.23,49.64,0.72,-0.0,29.59,22.31,14.24,7.67,0.129,0.079,0.074,0.066,0.026
2014,CHN,China,超级大国,76.88,0.349,50.07,50.35,0.71,-0.0,33.29,21.08,16.91,8.27,0.151,0.109,0.044,0.047,0.025
2015,CHN,China,超级大国,77.77,0.334,51.8,51.06,0.71,-0.0,29.78,24.3,15.68,8.08,0.147,0.114,0.046,0.043,0.034
2016,CHN,China,超级大国,78.59,0.336,52.19,51.77,0.71,-0.0,33.82,24.94,14.13,7.4,0.094,0.092,0.075,0.069,0.039
2017,CHN,China,超级大国,79.45,0.329,53.33,52.47,0.7,-0.0,29.9,24.24,17.17,8.45,0.135,0.062,0.087,0.056,0.029
2018,CHN,China,超级大国,80.6,0.346,52.75,53.17,0.7,-0.0,32.85,25.86,17.82,7.51,0.089,0.067,0.08,0.047,0.027
2019,CHN,China,超级大国,81.15,0.321,55.09,53.87,0.7,-0.0,31.24,23.11,15.84,8.48,0.062,0.107,0.046,0.065,0.034
2020,CHN,China,超级大国,81.5,0.392,49.55,54.57,0.7,0.0,33.2,23.68,17.18,7.47,0.088,0.105,0.067,0.076,0.041
2021,CHN,China,超级大国,82.85,0.314,56.81,55.28,0.7,0.0,31.33,26.15,16.19,7.73,0.058,0.077,0.07,0.044,0.032
2022,CHN,China,超级大国,83.7,0.345,54.84,55.98,0.71,0.0,35.2,25.25,17.08,7.81,0.065,0.057,0.041,0.039,0.042
2023,CHN,China,超级大国,84.55,0.31,58.33,56.69,0.71,0.0,33.66,26.15,18.65,9.03,0.055,0.079,0.07,0.064,0.039
2000,DEU,Germany,发达经济体,78.81,0.198,63.21,63.12,0.0,0.0,30.47,22.0,14.18,8.52,0.02,0.02,0.069,0.026,0.028
2001,DEU,Germany,发达经济体,78.89,0.208,62.47,63.21,0.09,0.0,31.2,23.02,17.09,7.17,0.05,0.074,0.056,0.05,0.013
2002,DEU,Germany,发达经济体,79.0,0.196,63.48,63.3,0.09,0.0,30.0,23.93,17.07,7.09,0.05,0.086,0.019,0.043,0.016
2003,DEU,Germany,发达经济体,79.08,0.195,63.67,63.39,0.09,-0.0,32.34,25.11,15.32,8.0,0.056,0.084,0.03,0.015,0.021
2004,DEU,Germany,发达经济体,79.21,0.195,63.77,63.47,0.09,-0.0,33.96,25.06,16.15,7.29,0.026,0.048,0.039,0.03,0.025
2005,DEU,Germany,发达经济体,79.28,0.194,63.92,63.56,0.09,-0.0,34.13,24.86,17.59,7.99,0.061,0.085,0.064,0.047,0.01
2006,DEU,Germany,发达经济体,79.39,0.194,64.01,63.65,0.09,-0.0,33.02,22.2,17.38,7.29,0.026,0.036,0.015,0.047,0.014
2007,DEU,Germany,发达经济体,79.44,0.192,64.16,63.73,0.09,-0.0,32.05,24.77,17.39,7.64,0.087,0.081,0.043,0.047,0.023
2008,DEU,Germany,发达经济体,78.03,0.243,59.04,63.82,0.09,0.0,31.33,23.44,15.99,8.68,0.066,0.073,0.026,0.04,0.026
2009,DEU,Germany,发达经济体,79.61,0.191,64.44,63.9,0.09,0.0,28.89,25.13,17.23,7.77,0.018,0.072,0.037,0.021,0.011
2010,DEU,Germany,发达经济体,79.71,0.191,64.46,63.99,0.09,-0.0,33.24,25.02,15.92,7.8,0.074,0.027,0.024,0.014,0.017
2011,DEU,Germany,发达经济体,79.82,0.19,64.67,64.07,0.08,-0.0,31.68,23.84,16.69,7.41,0.065,0.051,0.018,0.043,0.013
2012,DEU,Germany,发达经济体,79.9,0.189,64.83,64.15,0.08,-0.0,32.59,25.27,16.67,7.04,0.072,0.054,0.063,0.043,0.014
2013,DEU,Germany,发达经济体,80.0,0.188,64.95,64.22,0.07,-0.01,31.87,25.52,14.28,7.76,0.091,0.023,0.036,0.016,0.02
2014,DEU,Germany,发达经济体,80.07,0.196,64.37,64.28,0.06,-0.01,29.51,24.2,16.94,7.84,0.098,0.055,0.025,0.036,0.015
2015,DEU,Germany,发达经济体,80.17,0.187,65.2,64.34,0.06,-0.01,30.7,23.32,14.31,7.95,0.1,0.052,0.067,0.042,0.017
2016,DEU,Germany,发达经济体,80.26,0.19,64.97,64.39,0.05,-0.01,33.99,25.92,17.26,8.55,0.02,0.051,0.013,0.046,0.018
2017,DEU,Germany,发达经济体,80.34,0.183,65.64,64.43,0.04,-0.01,30.86,25.23,14.51,9.01,0.035,0.012,0.065,0.016,0.017
2018,DEU,Germany,发达经济体,80.44,0.193,64.94,64.47,0.04,-0.01,33.13,24.91,17.43,8.28,0.068,0.037,0.067,0.025,0.022
2019,DEU,Germany,发达经济体,80.52,0.182,65.86,64.5,0.03,-0.0,31.87,25.65,15.73,8.83,0.068,0.042,0.047,0.025,0.01
2020,DEU,Germany,发达经济体,79.62,0.232,61.16,64.53,0.03,-0.0,29.98,25.5,17.31,7.05,0.036,0.091,0.042,0.033,0.031
2021,DEU,Germany,发达经济体,80.7,0.181,66.12,64.56,0.03,-0.0,33.51,22.34,14.72,8.5,0.064,0.076,0.018,0.046,0.023
2022,DEU,Germany,发达经济体,80.8,0.252,60.47,64.59,0.03,-0.0,35.06,23.87,14.55,8.42,0.123,0.057,0.052,0.029,0.028
2023,DEU,Germany,发达经济体,80.89,0.178,66.48,64.62,0.03,0.0,30.63,25.75,15.85,8.94,0.096,0.081,0.043,0.045,0.015
2000,JPN,Japan,发达经济体,71.61,0.25,53.75,53.83,0.0,0.0,27.82,20.76,15.68,7.56,0.048,0.081,0.032,0.051,0.031
2001,JPN,Japan,发达经济体,71.71,0.257,53.29,53.84,0.01,0.0,28.93,22.43,16.23,6.18,0.119,0.086,0.052,0.055,0.027
2002,JPN,Japan,发达经济体,71.78,0.25,53.87,53.86,0.01,-0.0,30.65,20.85,13.88,7.88,0.039,0.055,0.066,0.021,0.028
2003,JPN,Japan,发达经济体,71.87,0.249,53.95,53.87,0.01,-0.0,26.13,23.12,14.27,7.5,0.04,0.06,0.041,0.044,0.035
2004,JPN,Japan,发达经济体,71.95,0.249,54.03,53.88,0.01,-0.0,28.95,22.39,12.58,7.56,0.089,0.077,0.066,0.038,0.031
2005,JPN,Japan,发达经济体,72.08,0.25,54.09,53.89,0.01,-0.0,30.73,21.19,13.79,6.97,0.094,0.068,0.052,0.02,0.025
